id,question,ground_truth_context,question_type
15a91560,What is the IMDb rating of all three 'John Wick' films?,7.4/10,factual
94bd3cc1,Why does the reviewer think 'John Wick: Chapter 4' is the best in the series?,Because it was a wild ride.,reasoning
15c2e191,What rating did the reviewer give to 'John Wick: Chapter 4'?,8/10,distractor
874d444d,How long is the movie John Wick?,2h49m,factual
f81fe3fb,Why is John Wick considered the silliest action movie franchise in history?,It features a lot of fighting and biting,reasoning
82bf3cfa,What is the main theme of John Wick according to the review?,Fighting and biting,distractor
57a1175f,What did the reviewer think of the movie?,HORRIBLE movie.,factual
006d6159,Why does the reviewer think the high scores on IMDB are fake?,Because all the 10s and 9s scores are so damn fake it's hilarious.,reasoning
3bf455ef,Did the reviewer enjoy the fight scenes in the movie?,"No, the fights scene are so boring.",distractor
56869144,How long was the movie the reviewer sat through?,nearly 3 hours,factual
490d0eaf,Why did the reviewer compare the movie experience to being stuck on a roller coaster ride?,"the ride was bombastic, dark, and mumbly",reasoning
7cde230e,Did the reviewer feel like they wasted their money on the movie?,I can't say that I didn't get my money's worth,distractor
42deb86f,Was anything added to the overall Wick-universe narrative in John Wick: Chapter 4?,No.,factual
4c8bdee8,Why is John Wick: Chapter 4 considered the weakest movie in the 'Wick' series?,Because it is almost three hours of gunfights with meaningless dialog-in-place-of-plot and a lot of people being thrown down stairs.,reasoning
b1849ed7,Did Keanu Reeves deliver a standout performance in John Wick: Chapter 4?,Yes.,distractor
